0,0,Churchgate,18.935147,72.827214,0,0
0,1,Marine Lines,18.945633,72.823845,1218.984700976,1218.984700976
0,2,Charni Road,18.951485,72.81889,833.8942507957,2052.8789517717
0,3,Grant Road,18.963534,72.816147,1370.8770728579,3423.7560246295
0,4,Mumbai Central,18.970517,72.819409,849.1084072574,4272.864431887
0,5,Mahalaxmi,18.98197,72.823671,1350.4505641684,5623.3149960554
0,6,Lower Parel,18.995905,72.830327,1700.6941194106,7324.009115466
0,7,Elphinstone Road,19.007279,72.835786,1389.2581385488,8713.2672540148
0,8,Dadar,19.018466,72.842641,1438.0180911325,10151.2853451472
0,9,Matunga Road,19.028136,72.846796,1160.9105649519,11312.1959100991
0,10,Mahim,19.040474,72.846923,1372.3755813623,12684.5714914615
0,11,Bandra,19.054611,72.840669,1704.3475134782,14388.9190049396
0,12,Khar Road,19.0697,72.840275,1678.8053274607,16067.7243324004
0,13,Santacruz,19.082354,72.841708,1415.4961068987,17483.2204392991
0,14,Vile Parle,19.09961,72.844023,1934.6845140501,19417.9049533492
0,15,Andheri,19.119976,72.846588,2281.2195782772,21699.1245316264
0,16,Jogeshwari,19.136281,72.848869,1829.3177018166,23528.442233443
0,17,Goregaon,19.164716,72.849541,3163.5091123915,26691.9513458344
0,18,Malad,19.187058,72.848947,2485.8023347453,29177.7536805797
0,19,Kandivali,19.204718,72.852056,1991.2203060315,31168.9739866112
0,20,Borivali,19.230192,72.857395,2888.3348211242,34057.3088077354
0,21,Dahisar,19.249677,72.859369,2177.1367532287,36234.445560964
0,22,Mira Road,19.280902,72.855938,3491.6762025232,39726.1217634872
0,23,Bhayandar,19.311296,72.852616,3398.5533456637,43124.6751091509
0,24,Naigaon,19.351168,72.846528,4480.6116433248,47605.2867524757
0,25,Vasai,19.382238,72.832277,3765.4717857223,51370.758538198
0,26,Nalasopara,19.418145,72.818826,4235.7811814759,55606.5397196739
0,27,Virar,19.45484,72.812208,4140.0578097395,59746.5975294134
0,28,Vaitarna,19.518073,72.850104,8078.0587535689,67824.6562829823
0,29,Saphale,19.576506,72.822125,7130.298290915,74954.9545738974
0,30,Kelve Road,19.624388,72.791181,6235.090671043,81190.0452449404
0,31,Palghar,19.697591,72.772327,8378.1661609029,89568.2114058432
0,32,Umroli,19.756167,72.760585,6630.1668445255,96198.3782503688
0,33,Boisar,19.798064,72.761669,4661.4310405297,100859.809290898
0,34,Vangaon,19.882998,72.763428,9448.6905768154,110308.499867714
0,35,Dahanu Road,19.991363,72.743594,12230.1544330206,122538.654300734
1,0,CST,18.941591,72.835881,0,0
1,1,Masjid,18.95206,72.838231,1190.3830490797,1190.3830490797
1,2,Sandhurst Road,18.961386,72.839783,1050.0661539218,2240.4492030015
1,3,Byculla,18.976609,72.832742,1848.0890519896,4088.5382549911
1,4,Chinchpokli,18.986939,72.832805,1148.9872256512,5237.5254806423
1,5,Currey Road,18.993916,72.832962,776.2018425331,6013.7273231754
1,6,Parel,19.008953,72.837525,1739.9906694705,7753.7179926459
1,7,Dadar,19.017919,72.843576,1182.9668941609,8936.6848868068
1,8,Matunga,19.027297,72.850059,1246.0879263335,10182.7728131403
1,9,Sion,19.046773,72.863369,2578.9705536302,12761.7433667705
1,10,Kurla,19.06531,72.879552,2673.1211694413,15434.8645362117
1,11,Vidyavihar,19.079499,72.897579,2466.1211557165,17900.9856919282
1,12,Ghatkopar,19.085515,72.908097,1292.3156677059,19193.3013596341
1,13,Vikhroli,19.111857,72.928462,3628.492312719,22821.7936723531
1,14,Kanjurmarg,19.128204,72.928065,1818.695624442,24640.489296795
1,15,Bhandup,19.142217,72.937588,1852.2013288693,26492.6906256644
1,16,Nahur,19.154557,72.94663,1669.2724419119,28161.9630675763
1,17,Mulund,19.171825,72.956418,2178.632335869,30340.5954034452
1,18,Thane,19.186167,72.975598,2569.9363002323,32910.5317036776
1,19,Kalwa,19.195373,72.996856,2456.6257570882,35367.1574607657
1,20,Mumbra,19.19013,73.023155,2823.4362700309,38190.5937307966
1,21,Diwa,19.188373,73.041619,1949.3968212127,40139.9905520093
1,22,Kopar,19.210609,73.076826,4448.942238143,44588.9327901524
1,23,Dombivli,19.218278,73.086871,1356.7192906509,45945.6520808033
1,24,Thakurli,19.225874,73.097765,1422.2822002432,47367.9342810465
1,25,Kalyan,19.235318,73.13092,3636.9319653256,51004.8662463721
2,0,CST,18.941591,72.835881,0,0
2,1,Masjid Bunder,18.95206,72.838231,1190.3830490797,1190.3830490797
2,2,Sandhurst Road,18.961386,72.839783,1050.0661539218,2240.4492030015
2,3,Dockyard Road,18.966285,72.844201,716.1596709105,2956.608873912
2,4,Reay Road,18.977236,72.844323,1218.1072731717,4174.7161470837
2,5,Cotton Green,18.986388,72.843181,1025.0054435983,5199.721590682
2,6,Sewri,18.99876,72.854503,1819.7564068065,7019.4779974885
2,7,Wadala,19.016289,72.858838,2002.2739662393,9021.7519637278
2,8,Ravli Jn,19.023464,72.861049,831.225828689,9852.9777924167
2,9,G.T.B.nagar,19.037951,72.864283,1646.8257307225,11499.8035231392
2,10,Chunabhatti,19.051577,72.868993,1594.4205979189,13094.2241210581
2,11,Kurla,19.06531,72.879552,1888.2291090796,14982.4532301377
2,12,Tilak Nagar,19.065784,72.890135,1113.7871802651,16096.2404104028
2,13,Chembur,19.062533,72.901363,1234.4992683594,17330.7396787621
2,14,Govandi,19.055083,72.915556,1706.7521868925,19037.4918656547
2,15,Mankhurd,19.047975,72.931511,1854.3882210381,20891.8800866928
2,16,Vashi,19.062975,72.99873,7261.1054886465,28152.9855753393
